Date,AAPL.Adjusted
2007-01-03,10.90416
2007-01-04,11.14619
2007-01-05,11.06681
2007-01-08,11.12147
2007-01-09,12.04533
2007-01-10,12.62176
2007-01-11,12.46562
2007-01-12,12.31207
2007-01-16,12.63477
2007-01-17,12.35501
2007-01-18,11.5899
2007-01-19,11.51573
2007-01-22,11.29322
2007-01-23,11.15139
2007-01-24,11.28151
2007-01-25,11.22296
2007-01-26,11.10975
2007-01-29,11.18262
2007-01-30,11.13188
2007-01-31,11.1553
2007-02-01,11.02648
2007-02-02,11.02778
2007-02-05,10.92238
2007-02-06,10.9497
2007-02-07,11.20995
2007-02-08,11.21385
2007-02-09,10.8352
2007-02-12,11.04469
2007-02-13,11.02127
2007-02-14,11.09934
2007-02-15,11.08763
2007-02-16,11.03819
2007-02-20,11.17742
2007-02-21,11.60682
2007-02-22,11.64715
2007-02-23,11.5899
2007-02-26,11.51703
2007-02-27,10.92108
2007-02-28,11.00956
2007-03-01,11.32836
2007-03-02,11.11366
2007-03-05,11.23207
2007-03-06,11.4754
2007-03-07,11.41424
2007-03-08,11.45067
2007-03-09,11.44677
2007-03-12,11.694
2007-03-13,11.50272
2007-03-14,11.71091
2007-03-15,11.65496
2007-03-16,11.65756
2007-03-19,11.85795
2007-03-20,11.90349
2007-03-21,12.21448
2007-03-22,12.22619
2007-03-23,12.16894
2007-03-26,12.47212
2007-03-27,12.42138
2007-03-28,12.13251
2007-03-29,12.19887
2007-03-30,12.08957
2007-04-02,12.18586
2007-04-03,12.29646
2007-04-04,12.26653
2007-04-05,12.31988
2007-04-09,12.18586
2007-04-10,12.26393
2007-04-11,12.04793
2007-04-12,11.99588
2007-04-13,11.74214
2007-04-16,11.89699
2007-04-17,11.75646
2007-04-18,11.76296
2007-04-19,11.74605
2007-04-20,11.83713
2007-04-23,12.16764
2007-04-24,12.13251
2007-04-25,12.40706
2007-04-26,12.86119
2007-04-27,13.00172
2007-04-30,12.9861
2007-05-01,12.94316
2007-05-02,13.06287
2007-05-03,13.06418
2007-05-04,13.11752
2007-05-07,13.5222
2007-05-08,13.67054
2007-05-09,13.90736
2007-05-10,13.96722
2007-05-11,14.14939
2007-05-14,14.23006
2007-05-15,13.99064
2007-05-16,13.96722
2007-05-17,14.24047
2007-05-18,14.31594
2007-05-21,14.57098
2007-05-22,14.77397
2007-05-23,14.68939
2007-05-24,14.40312
2007-05-25,14.78438
2007-05-29,14.87937
2007-05-30,15.4545
2007-05-31,15.7694
2007-06-01,15.40636
2007-06-04,15.78761
2007-06-05,15.96198
2007-06-06,16.08819
2007-06-07,16.14415
2007-06-08,16.1988
2007-06-11,15.63927
2007-06-12,15.664
2007-06-13,15.28925
2007-06-14,15.4519
2007-06-15,15.67961
2007-06-18,16.27687
2007-06-19,16.0908
2007-06-20,15.81624
2007-06-21,16.12203
2007-06-22,16.00492
2007-06-25,15.91903
2007-06-26,15.56901
2007-06-27,15.86048
2007-06-28,15.68742
2007-06-29,15.88
2007-07-02,15.7785
2007-07-03,16.54752
2007-07-05,17.2736
2007-07-06,17.21504
2007-07-09,16.9587
2007-07-10,17.22155
2007-07-11,17.22675
2007-07-12,17.44536
2007-07-13,17.9216
2007-07-16,17.96975
2007-07-17,18.07514
2007-07-18,17.97235
2007-07-19,18.21698
2007-07-20,18.70493
2007-07-23,18.69843
2007-07-24,17.55206
2007-07-25,17.86044
2007-07-26,18.9977
2007-07-27,18.71794
2007-07-30,18.40305
2007-07-31,17.14478
2007-08-01,17.56637
2007-08-02,17.76025
2007-08-03,17.15649
2007-08-06,17.5989
2007-08-07,17.57027
2007-08-08,17.43755
2007-08-09,16.44603
2007-08-10,16.26516
2007-08-13,16.6282
2007-08-14,16.13894
2007-08-15,15.60154
2007-08-16,15.23069
2007-08-17,15.8826
2007-08-20,15.90342
2007-08-21,16.59957
2007-08-22,17.24237
2007-08-23,17.05499
2007-08-24,17.60541
2007-08-27,17.20854
2007-08-28,16.50198
2007-08-29,17.44666
2007-08-30,17.72902
2007-08-31,18.01919
2007-09-04,18.75828
2007-09-05,17.79538
2007-09-06,17.56767
2007-09-07,17.14608
2007-09-10,17.78888
2007-09-11,17.63013
2007-09-12,17.80709
2007-09-13,17.85264
2007-09-14,18.06213
2007-09-17,18.01009
2007-09-18,18.33669
2007-09-19,18.31717
2007-09-20,18.25731
2007-09-21,18.75698
2007-09-24,19.29438
2007-09-25,19.93198
2007-09-26,19.87862
2007-09-27,20.10374
2007-09-28,19.96971
2007-10-01,20.34316
2007-10-02,20.61771
2007-10-03,20.54875
2007-10-04,20.33015
2007-10-05,21.00808
2007-10-08,21.84866
2007-10-09,21.84216
2007-10-10,21.70293
2007-10-11,21.10957
2007-10-12,21.76278
2007-10-15,21.72765
2007-10-16,22.06596
2007-10-17,22.47845
2007-10-18,22.57604
2007-10-19,22.17527
2007-10-22,22.68794
2007-10-23,24.22338
2007-10-24,24.19345
2007-10-25,23.78356
2007-10-26,24.0334
2007-10-29,24.08414
2007-10-30,24.33268
2007-10-31,24.71653
2007-11-01,24.38993
2007-11-02,24.44588
2007-11-05,24.22598
2007-11-06,24.95596
2007-11-07,24.24159
2007-11-08,22.83238
2007-11-09,21.51815
2007-11-12,20.00745
2007-11-13,22.11541
2007-11-14,21.61444
2007-11-15,21.37892
2007-11-16,21.65088
2007-11-19,21.33338
2007-11-20,21.97098
2007-11-21,21.92023
2007-11-23,22.321
2007-11-26,22.45112
2007-11-27,22.7465
2007-11-28,23.45045
2007-11-29,23.98005
2007-11-30,23.7107
2007-12-03,23.27349
2007-12-04,23.3971
2007-12-05,24.1375
2007-12-06,24.71653
2007-12-07,25.28256
2007-12-10,25.27085
2007-12-11,24.53306
2007-12-12,24.83495
2007-12-13,24.96116
2007-12-14,24.77379
2007-12-17,23.99436
2007-12-18,23.80959
2007-12-19,23.82781
2007-12-20,24.36
2007-12-21,25.23182
2007-12-24,25.86811
2007-12-26,25.88763
2007-12-27,25.83818
2007-12-28,26.00213
2007-12-31,25.77442
2008-01-02,25.35283
2008-01-03,25.36454
2008-01-04,23.42833
2008-01-07,23.11474
2008-01-08,22.28327
2008-01-09,23.34375
2008-01-10,23.16419
2008-01-11,22.47064
2008-01-14,23.26308
2008-01-15,21.9957
2008-01-16,20.77256
2008-01-17,20.93521
2008-01-18,20.99637
2008-01-22,20.25207
2008-01-23,18.09596
2008-01-24,17.64444
2008-01-25,16.91707
2008-01-28,16.91707
2008-01-29,17.11615
2008-01-30,17.19943
2008-01-31,17.61322
2008-02-01,17.40372
2008-02-04,17.13046
2008-02-05,16.83249
2008-02-06,15.8748
2008-02-07,15.7759
2008-02-08,16.32762
2008-02-11,16.8442
2008-02-12,16.24694
2008-02-13,16.83769
2008-02-14,16.58526
2008-02-15,16.21701
2008-02-19,15.89822
2008-02-20,16.11162
2008-02-21,15.81494
2008-02-22,15.54429
2008-02-25,15.58072
2008-02-26,15.50395
2008-02-27,15.99971
2008-02-28,16.90405
2008-02-29,16.26776
2008-03-03,15.83966
2008-03-04,16.21571
2008-03-05,16.1988
2008-03-06,15.73556
2008-03-07,15.90732
2008-03-10,15.57422
2008-03-11,16.57094
2008-03-12,16.39918
2008-03-13,16.64772
2008-03-14,16.47465
2008-03-17,16.49027
2008-03-18,17.28271
2008-03-19,16.87282
2008-03-20,17.34126
2008-03-24,18.15582
2008-03-25,18.34449
2008-03-26,18.87539
2008-03-27,18.24951
2008-03-28,18.60864
2008-03-31,18.6724
2008-04-01,19.45703
2008-04-02,19.19158
2008-04-03,19.72769
2008-04-04,19.91896
2008-04-07,20.2846
2008-04-08,19.88773
2008-04-09,19.70556
2008-04-10,20.11024
2008-04-11,19.14604
2008-04-14,19.22932
2008-04-15,19.30739
2008-04-16,19.99964
2008-04-17,20.10243
2008-04-18,20.95473
2008-04-21,21.88119
2008-04-22,20.84543
2008-04-23,21.19545
2008-04-24,21.98269
2008-04-25,22.08548
2008-04-28,22.41209
2008-04-29,22.77773
2008-04-30,22.63459
2008-05-01,23.42183
2008-05-02,23.54414
2008-05-05,24.0373
2008-05-06,24.28843
2008-05-07,23.75884
2008-05-08,24.08024
2008-05-09,23.87075
2008-05-12,24.48362
2008-05-13,24.71784
2008-05-14,24.23639
2008-05-15,24.68791
2008-05-16,24.41335
2008-05-19,23.89026
2008-05-20,24.18954
2008-05-21,23.18631
2008-05-22,23.03797
2008-05-23,23.57407
2008-05-27,24.25851
2008-05-28,24.33398
2008-05-29,24.29234
2008-05-30,24.56039
2008-06-02,24.21557
2008-06-03,24.12058
2008-06-04,24.09716
2008-06-05,24.64887
2008-06-06,24.15571
2008-06-09,23.63132
2008-06-10,24.15571
2008-06-11,23.52723
2008-06-12,22.54481
2008-06-13,22.429
2008-06-16,23.01065
2008-06-17,23.6079
2008-06-18,23.25918
2008-06-19,23.53894
2008-06-20,22.80635
2008-06-23,22.5318
2008-06-24,22.54351
2008-06-25,23.08221
2008-06-26,21.8942
2008-06-27,22.13233
2008-06-30,21.7875
2008-07-01,22.72958
2008-07-02,21.88379
2008-07-03,22.13623
2008-07-07,22.79204
2008-07-08,23.36327
2008-07-09,22.67363
2008-07-10,22.98332
2008-07-11,22.45633
2008-07-14,22.62549
2008-07-15,22.07377
2008-07-16,22.48626
2008-07-17,22.35613
2008-07-18,21.48953
2008-07-21,21.63787
2008-07-22,21.08225
2008-07-23,21.63396
2008-07-24,20.69318
2008-07-25,21.09526
2008-07-28,20.09072
2008-07-29,20.43945
2008-07-30,20.80379
2008-07-31,20.68278
2008-08-01,20.3848
2008-08-04,19.93848
2008-08-05,20.90268
2008-08-06,21.36461
2008-08-07,21.28394
2008-08-08,22.06206
2008-08-11,22.58385
2008-08-12,22.99633
2008-08-13,23.33074
2008-08-14,23.33335
2008-08-15,22.86751
2008-08-18,22.82197
2008-08-19,22.57994
2008-08-20,22.88052
2008-08-21,22.67883
2008-08-22,23.00414
2008-08-25,22.45242
2008-08-26,22.59426
2008-08-27,22.72828
2008-08-28,22.60727
2008-08-29,22.05946
2008-09-02,21.62485
2008-09-03,21.72505
2008-09-04,20.97815
2008-09-05,20.84282
2008-09-08,20.54875
2008-09-09,19.73679
2008-09-10,19.72769
2008-09-11,19.86301
2008-09-12,19.38026
2008-09-15,18.26382
2008-09-16,18.20136
2008-09-17,16.6334
2008-09-18,17.44796
2008-09-19,18.33539
2008-09-22,17.05239
2008-09-23,16.50458
2008-09-24,16.74791
2008-09-25,17.1669
2008-09-26,16.68675
2008-09-29,13.69656
2008-09-30,14.78958
2008-10-01,14.19883
2008-10-02,13.02514
2008-10-03,12.63087
2008-10-06,12.7701
2008-10-07,11.60161
2008-10-08,11.68359
2008-10-09,11.54696
2008-10-10,12.59574
2008-10-13,14.34717
2008-10-14,13.54302
2008-10-15,12.74538
2008-10-16,13.25806
2008-10-17,12.67381
2008-10-20,12.80914
2008-10-21,11.90479
2008-10-22,12.60485
2008-10-23,12.78181
2008-10-24,12.54109
2008-10-27,11.98287
2008-10-28,13.00042
2008-10-29,13.60418
2008-10-30,14.44867
2008-10-31,13.99975
2008-11-03,13.91777
2008-11-04,14.44216
2008-11-05,13.44153
2008-11-06,12.89502
2008-11-07,12.78311
2008-11-10,12.47603
2008-11-11,12.33159
2008-11-12,11.72653
2008-11-13,12.54889
2008-11-14,11.74214
2008-11-17,11.46889
2008-11-18,11.6992
2008-11-19,11.22816
2008-11-20,10.47346
2008-11-21,10.74541
2008-11-24,12.09477
2008-11-25,11.81501
2008-11-26,12.36152
2008-11-28,12.05834
2008-12-01,11.57168
2008-12-02,12.03231
2008-12-03,12.47863
2008-12-04,11.89438
2008-12-05,12.2314
2008-12-08,12.97569
2008-12-09,13.01993
2008-12-10,12.77921
2008-12-11,12.36152
2008-12-12,12.78702
2008-12-15,12.32899
2008-12-16,12.41747
2008-12-17,11.60161
2008-12-18,11.63674
2008-12-19,11.71091
2008-12-22,11.1566
2008-12-23,11.23987
2008-12-24,11.06551
2008-12-26,11.16571
2008-12-29,11.2698
2008-12-30,11.22816
2008-12-31,11.10585
2009-01-02,11.80851
2009-01-05,12.30687
2009-01-06,12.10388
2009-01-07,11.84234
2009-01-08,12.06224
2009-01-09,11.78638
2009-01-12,11.53655
2009-01-13,11.41294
2009-01-14,11.10325
2009-01-15,10.84951
2009-01-16,10.71288
2009-01-20,10.17548
2009-01-21,10.77794
2009-01-22,11.49751
2009-01-23,11.49751
2009-01-26,11.66407
2009-01-27,11.8059
2009-01-28,12.25742
2009-01-29,12.10128
2009-01-30,11.72783
2009-02-02,11.9074
2009-02-03,12.09868
2009-02-04,12.17284
2009-02-05,12.5515
2009-02-06,12.97569
2009-02-09,13.33873
2009-02-10,12.72976
2009-02-11,12.59834
2009-02-12,12.91714
2009-02-13,12.90282
2009-02-17,12.30036
2009-02-18,12.27954
2009-02-19,11.79419
2009-02-20,11.86706
2009-02-23,11.31404
2009-02-24,11.74344
2009-02-25,11.86185
2009-02-26,11.60552
2009-02-27,11.62113
2009-03-02,11.44286
2009-03-03,11.49882
2009-03-04,11.86316
2009-03-05,11.55997
2009-03-06,11.09934
2009-03-09,10.81438
2009-03-10,11.53265
2009-03-11,12.05964
2009-03-12,12.53718
2009-03-13,12.48253
2009-03-16,12.41617
2009-03-17,12.96789
2009-03-18,13.20991
2009-03-19,13.22292
2009-03-20,13.21902
2009-03-23,14.00886
2009-03-24,13.85792
2009-03-25,13.85661
2009-03-26,14.29642
2009-03-27,13.90346
2009-03-30,13.59637
2009-03-31,13.67835
2009-04-01,14.14288
2009-04-02,14.66597
2009-04-03,15.09276
2009-04-06,15.41286
2009-04-07,14.96395
2009-04-08,15.13571
2009-04-09,15.5586
2009-04-13,15.64318
2009-04-14,15.39465
2009-04-15,15.30747
2009-04-16,15.80323
2009-04-17,16.05957
2009-04-20,15.67961
2009-04-21,15.84356
2009-04-22,15.81104
2009-04-23,16.31721
2009-04-24,16.12203
2009-04-27,16.23003
2009-04-28,16.12203
2009-04-29,16.28337
2009-04-30,16.37316
2009-05-01,16.55663
2009-05-04,17.18512
2009-05-05,17.26839
2009-05-06,17.24107
2009-05-07,16.79345
2009-05-08,16.81037
2009-05-11,16.85981
2009-05-12,16.18969
2009-05-13,15.54819
2009-05-14,15.99841
2009-05-15,15.92944
2009-05-18,16.47986
2009-05-19,16.58396
2009-05-20,16.37836
2009-05-21,16.15846
2009-05-22,15.93985
2009-05-26,17.01726
2009-05-27,17.31263
2009-05-28,17.57548
2009-05-29,17.67177
2009-06-01,18.1324
2009-06-02,18.15061
2009-06-03,18.34059
2009-06-04,18.70363
2009-06-05,18.82464
2009-06-08,18.71794
2009-06-09,18.57091
2009-06-10,18.24951
2009-06-11,18.21047
2009-06-12,17.82271
2009-06-15,17.7082
2009-06-16,17.74203
2009-06-17,17.64184
2009-06-18,17.68088
2009-06-19,18.14931
2009-06-22,17.87476
2009-06-23,17.43755
2009-06-24,17.72512
2009-06-25,18.19876
2009-06-26,18.53447
2009-06-29,18.47332
2009-06-30,18.53317
2009-07-01,18.58522
2009-07-02,18.21958
2009-07-06,18.03611
2009-07-07,17.61842
2009-07-08,17.85524
2009-07-09,17.74333
2009-07-10,18.0244
2009-07-13,18.52146
2009-07-14,18.51235
2009-07-15,19.11221
2009-07-16,19.19549
2009-07-17,19.7459
2009-07-20,19.89684
2009-07-21,19.71467
2009-07-22,20.39521
2009-07-23,20.53574
2009-07-24,20.8181
2009-07-27,20.83242
2009-07-28,20.8194
2009-07-29,20.82331
2009-07-30,21.18244
2009-07-31,21.26051
2009-08-03,21.65608
2009-08-04,21.54158
2009-08-05,21.48432
2009-08-06,21.32818
2009-08-07,21.53637
2009-08-10,21.43358
2009-08-11,21.18765
2009-08-12,21.51035
2009-08-13,21.91502
2009-08-14,21.70162
2009-08-17,20.76605
2009-08-18,21.33989
2009-08-19,21.41796
2009-08-20,21.64307
2009-08-21,22.01912
